Sl. No.,State,Facility No.,Facility Name/ Licensee,NJEMS PI/ Dep No./ID,Waste Type,Phone,Location,Municipality,City,Pincode,Owner/ Owner Type,Hours,Features,Latitude,Longitude,,,,,,,,,,,,,,,
1,Delaware,1,Cheswold,,<Plastic & Other>,1-800-404-7080,"54 Fork Branch Road
",,Dover ,19904,,,"1. Pay-as-you-throw basis: 1 bag of disposed waste = $1.00
2. No cash transactions onsite - pre-paid tickets should be purchased in advance (online or in person)
3. Maximum bag size = 33 gallons",39.1605,-75.5974,,,,,,,,,,,,,,,
,,2,Ellendale,,<Plastic & Other>,1-800-404-7080,"13870 South Old State Road
",,Ellendale,19941,," Monday - Saturday
8:30am-3:30pm",,38.8057,-75.4056,,,,,,,,,,,,,,,
,,3,Long Neck,,<Plastic & Other>,1-800-404-7080,28963 Mount Joy Road,,Millsboro,19966,,"Monday - Saturday
8:30am-3:30pm
Sundays (May-September): 10am-2pm",,38.6595,-75.2464,,,,,,,,,,,,,,,
,,4,Omar,,<Plastic & Other>,1-800-404-7080,33086 Burton Farm Road,,Frankford,19945,,"Monday - Saturday
8:30am-3:30pm
Sundays (May-September): 10am-2pm",,38.5177,-75.2006,,,,,,,,,,,,,,,
,,5,Bridgeville,,<Plastic & Other>,1-800-404-7080,16539 Polk Road,,Bridgeville,19933,,"Monday-Saturday
8:30am-3:30pm",,38.7366,-75.6088,,,,,,,,,,,,,,,
,,6,Republic,,<Plastic & Other>,302-658-4097,1420 New York Ave,,Wilmington,19801,,"Monday-Friday:
8:00 am-5:00 pm
Saturday:
8:00 am-12:00 pm",In collaboration with Republic and Revolution Recovery,39.7378,-75.5497,,,,,,,,,,,,,,,
2,Maine,1,STEVE SWASEY INC,S-022500-WK- A-P,<Plastic & Other>,(207) 392-3556,P.O. BOX 132 ANDOVER,,ANDOVER,04216,,,,44.6637,-70.7967,,,,,,,,,,,,,,,
,,2,"COUSINEAU, INC.",S-022141-WK- A-P,<Plastic & Other>,(207) 645-4448,845 US ROUTE 2 EAST WILTON,,ANSON,04294,,,,44.5928,-70.2281,,,,,,,,,,,,,,,
,,3,AIM RECYCLING USA LLC (ARUNDEL),S-022259-WK- A-N,<Plastic & Other>,(207) 465-2212,P.O. BOX 400 OAKLAND,,ARUNDEL,04963,,,,44.5173,-69.7401,,,,,,,,,,,,,,,
,,4,LABBE EXCAVATION INC,S-022330-WK- A-P,<Plastic & Other>,(207) 282-1426,PO BOX 1111 BIDDEFORD,,ARUNDEL,04005,,,,43.4935,-70.4883,,,,,,,,,,,,,,,
,,5,PROLERIZED NEW ENGLAND CO LLC,S-011181-WK- B-R,<Plastic & Other>,(207) 786-3531,69 ROVER ST EVERETT,,AUBURN,02149,,,,42.4112,-71.0514,,,,,,,,,,,,,,,
,,6,WOODLAND PULP LLC,S-008837-WK-AH-N,<Plastic & Other>,(207) 427-3311,144 MAIN ST BAILEYVILLE,,BAILEYVILLE,04694,,,,45.1035,-67.4722,,,,,,,,,,,,,,,
,,7,WOODLAND PULP LLC,S-008837-WK-AF-N,<Plastic & Other>,(207) 427-3311,144 MAIN STREET BAILEYVILLE,,BAILEYVILLE,4694,,,,45.1035,-67.4722,,,,,,,,,,,,,,,
,,8,P. Y. ESTES & SON INC,S-022434-WK- A-P,<Plastic & Other>,(207) 625-3317,PO BOX 86 102 DEPOT RD,,BALDWIN,,,,,0,0,,,,,,,,,,,,,,,
,,9,AIM RECYCLING USA LLC (BANGOR),S-022260-WK- A-N,<Plastic & Other>,(207) 465-2212,P.O. BOX 400 OAKLAND,,BANGOR,4963,,,,44.5173,-69.7401,,,,,,,,,,,,,,,
,,10,FLYING PLACE LLC,S-022360-WK- B-N,<Plastic & Other>,(207) 497-2261,125 BLACK DUCK RD BEALS,,BEALS,4611,,,,44.513,-67.6056,,,,,,,,,,,,,,,
,,11,MICK CONSTRUCTION CORP,S-022287-WK- A-P,<Plastic & Other>,(603) 742-0606,PO BOX 160 ROLLINGSFORD,,BERWICK,3869,,,,43.2269,-70.8332,,,,,,,,,,,,,,,
,,12,BERWICK IRON & METAL RECYCLING,S-022349-WK- A-N,<Plastic & Other>,(207) 698-9933,PO BOX 366 BERWICK,,BERWICK,3901,,,,43.2899,-70.855,,,,,,,,,,,,,,,
,,13,D.A. WILSON & CO.,S-021835-WK- B-P,<Plastic & Other>,(207) 824-2417,673 VERNON STREET BETHEL,,BETHEL,4217,,,,44.4162,-70.8037,,,,,,,,,,,,,,,
,,14,CROSS SAND & GRAVEL LLC,S-022209-WK- C-P,<Plastic & Other>,(207) 890-1954,PO BOX 158 BETHEL,,BETHEL,4217,,,,44.4162,-70.8037,,,,,,,,,,,,,,,
,,15,A-B CRUSHING & SCREENING,S-022485-WK- A-P,<Plastic & Other>,(207) 357-4892,6 MARTIN ROAD RUMFORD,,BETHEL,4276,,,,44.5434,-70.5645,,,,,,,,,,,,,,,
,,16,RAY LABBE & SONS INC,S-022272-WK- A-P,<Plastic & Other>,(207) 725-7336,PO BOX 308 BRUNSWICK,,BOWDOIN,4011,,,,43.8973,-69.9779,,,,,,,,,,,,,,,
,,17,R ROLFE CORP,S-022240-WK- A-P,<Plastic & Other>,(207) 647-9500,91 HOME RUN RD BRIDGTON,,BRIDGTON,4009,,,,44.052,-70.7241,,,,,,,,,,,,,,,
,,18,"PEMAQUID STONE, LLC",S-022439-WK- A-P,<Plastic & Other>,(207) 685-4583,103 S. ROAD SOUTH BRISTOL,,BRISTOL,4568,,,,43.8677,-69.5614,,,,,,,,,,,,,,,
,,19,K & W AGGREGATES LLC,S-022390-WK- A-P,<Plastic & Other>,(207) 625-2468,PO BOX 81 DENMARK,,BROWNFIELD,4022,,,,43.9755,-70.7924,,,,,,,,,,,,,,,
